cell_id	cluster	gene_01	gene_02	gene_03	gene_04	gene_05	gene_06	gene_07	gene_08	gene_09	gene_10	gene_11	gene_12	gene_13	gene_14	gene_15	gene_16	gene_17	gene_18	gene_19	gene_20	gene_21	gene_22	gene_23	gene_24	gene_25	gene_26	gene_27	gene_28	gene_29	gene_30	gene_31	gene_32	gene_33	gene_34	gene_35	gene_36	gene_37	gene_38	gene_39	gene_40	gene_41	gene_42	gene_43	gene_44	gene_45	gene_46	gene_47	gene_48	gene_49	gene_50	gene_51	gene_52	gene_53	gene_54	gene_55	gene_56	gene_57	gene_58	gene_59	gene_60
cell_0166	cluster_1	0.0	42.804	6.35	1.313	3.879	0.0	3.085	13.534	1.634	0.0	4.542	3.562	21.658	2.115	3.311	9.532	4.995	1.901	5.352	7.675	3.195	2.607	1.443	4.147	4.105	3.306	4.882	3.236	17.131	7.419	6.305	3.796	0.0	0.0	4.935	4.997	2.573	5.44	14.354	4.082	0.0	5.001	0.0	4.833	16.502	2.907	3.008	4.433	1.664	1.069	3.819	3.159	0.0	1.599	0.959	5.408	1.389	1.674	2.642	5.623
cell_0117	cluster_1	36.691	15.027	4.006	7.206	0.0	2.879	5.291	0.637	1.9	2.05	11.793	7.373	1.67	2.924	1.759	2.247	5.486	3.402	1.431	9.333	0.0	1.618	0.0	1.259	3.162	1.132	0.0	2.396	0.0	2.714	1.507	2.128	1.372	1.999	2.014	1.345	2.143	1.096	0.654	3.135	0.996	2.802	1.815	2.641	1.863	1.998	2.186	0.0	1.099	2.698	3.26	5.146	2.349	2.572	3.574	1.943	1.556	3.352	1.415	2.799
cell_0567	cluster_3	22.347	2.137	1.068	1.492	26.382	4.671	0.0	2.248	0.586	10.759	20.766	1.44	1.629	2.706	7.211	3.167	5.987	1.479	4.727	2.319	1.721	2.064	7.842	4.512	2.785	5.522	6.173	2.425	5.962	3.277	10.557	2.239	3.549	1.141	1.696	0.0	1.675	1.669	1.283	1.246	22.86	1.928	1.782	3.979	3.869	2.744	1.321	4.331	0.0	2.768	0.812	0.0	3.194	5.399	2.68	1.474	5.753	1.735	3.671	1.751
cell_0528	cluster_3	1.448	1.493	4.339	4.325	33.24	7.623	4.844	5.795	0.832	1.313	1.655	1.967	0.535	0.675	0.752	1.918	0.0	0.516	0.615	1.645	2.081	0.679	4.326	2.563	0.78	1.997	2.629	2.839	0.0	4.557	2.206	2.563	3.475	4.222	0.942	2.011	1.624	8.7	2.7	1.81	4.221	1.159	9.947	1.785	0.0	0.0	3.212	5.737	5.205	2.386	1.261	2.972	2.455	2.521	1.941	3.943	1.963	4.916	1.162	0.748
cell_0483	cluster_3	4.603	3.03	0.0	1.232	20.319	12.056	8.153	1.68	0.0	0.0	0.0	6.117	0.841	0.933	5.66	0.786	1.951	1.353	1.311	4.127	3.905	2.076	2.817	1.87	3.384	3.166	3.744	2.168	6.634	1.068	1.669	1.519	2.428	7.362	1.415	0.0	1.368	2.676	4.255	1.877	2.725	1.724	2.182	1.782	1.846	2.511	1.525	1.898	1.482	2.705	0.515	4.276	3.907	2.922	4.004	0.0	2.591	2.725	2.204	2.76
cell_0026	cluster_1	10.042	35.259	1.086	0.0	1.421	1.629	3.414	0.0	4.256	0.851	0.0	1.754	2.725	2.428	3.607	0.0	1.987	2.402	1.466	11.256	1.858	0.0	1.203	1.938	2.34	0.855	1.149	0.0	0.0	1.864	0.0	1.001	0.0	3.831	1.545	0.787	1.516	5.905	0.821	0.0	5.495	0.618	4.408	7.914	2.492	2.44	2.19	3.939	6.785	12.779	4.06	1.106	0.614	2.418	5.903	2.254	5.49	0.0	5.137	1.041
cell_0421	cluster_3	1.809	2.748	1.359	3.762	14.338	18.716	4.325	3.037	6.574	1.118	1.853	0.0	0.58	9.888	2.62	1.669	2.193	0.0	1.582	0.241	2.427	1.762	0.957	1.712	7.741	1.372	3.2	2.697	0.678	0.0	2.281	7.567	1.426	1.358	2.093	4.034	0.0	2.647	10.954	3.654	1.694	5.312	3.663	1.71	1.442	2.527	1.494	1.579	5.323	2.687	1.315	2.469	0.0	2.605	1.243	0.525	4.606	0.0	1.856	4.932
cell_0324	cluster_2	2.829	2.888	17.88	0.0	3.973	12.134	2.885	5.236	1.48	4.403	0.0	0.915	18.37	1.568	9.883	1.981	2.739	4.958	4.821	3.674	2.263	3.13	3.954	1.97	1.7	3.582	2.669	0.0	4.488	4.103	3.521	1.568	0.662	3.778	0.0	1.782	1.748	1.838	0.0	1.59	4.708	3.069	12.209	8.249	2.176	2.993	8.975	1.77	2.249	2.111	1.278	4.179	2.518	3.825	2.398	5.191	5.03	1.251	4.337	9.884
cell_0435	cluster_3	2.285	5.661	5.84	1.046	22.816	5.808	0.0	2.367	2.092	1.485	2.092	2.278	2.371	2.833	7.981	3.473	3.963	9.286	3.439	1.383	5.083	2.156	3.109	0.0	0.0	0.735	1.301	5.899	0.0	5.742	4.3	8.239	1.962	2.97	0.484	1.262	2.086	3.746	2.95	6.239	5.561	10.375	3.428	3.816	3.652	1.731	2.878	1.385	10.951	1.529	1.221	1.562	0.0	4.046	8.293	5.194	1.55	3.788	1.305	2.045
cell_0595	cluster_3	4.913	8.74	1.191	1.814	19.565	9.815	7.56	17.124	2.06	3.265	0.731	3.857	8.904	11.98	0.0	3.305	2.168	1.545	5.038	3.041	0.844	1.322	3.647	0.0	4.733	0.0	0.0	0.0	1.885	1.537	6.889	1.444	5.871	3.304	5.998	4.566	5.704	2.003	1.514	6.182	13.895	3.546	3.275	3.815	4.977	4.403	4.203	1.903	0.0	1.0	1.64	4.803	24.628	3.674	0.0	6.559	8.188	3.385	0.699	2.486
cell_0386	cluster_2	0.779	1.396	0.0	22.862	4.562	9.028	1.144	0.0	2.512	0.851	1.054	3.486	1.581	3.818	1.762	15.453	1.893	1.044	31.438	10.435	1.675	2.929	1.25	3.353	1.646	9.159	4.184	2.879	2.694	10.999	2.806	1.86	4.201	4.852	3.231	5.469	2.102	1.882	7.539	1.874	0.903	6.018	5.346	0.0	0.0	0.831	4.172	1.808	4.551	0.0	1.515	0.0	1.279	1.486	7.826	5.897	7.063	1.557	1.099	3.872
cell_0264	cluster_2	2.858	11.121	0.0	37.417	0.969	4.593	6.607	4.876	7.037	4.744	19.455	1.487	12.141	6.367	2.098	1.253	0.65	1.897	12.543	2.495	6.417	4.726	8.454	4.227	3.017	2.269	4.338	2.662	1.762	2.339	7.996	2.593	2.367	0.0	7.471	1.425	3.72	8.785	2.559	1.551	6.19	4.07	23.384	2.41	1.736	4.698	6.139	7.879	1.731	1.397	3.431	4.999	10.851	2.32	1.363	7.898	2.007	2.186	3.374	6.27
cell_0046	cluster_1	16.876	0.0	2.449	2.254	1.166	0.0	0.746	2.079	2.397	0.416	1.668	1.139	0.89	4.897	1.793	0.0	3.451	0.0	3.038	1.67	2.229	2.786	2.985	1.78	2.209	0.0	2.883	1.067	0.65	1.182	0.404	0.0	0.851	3.049	1.002	1.264	0.899	1.924	1.653	1.256	0.0	3.042	0.0	2.225	2.846	1.863	5.109	6.212	2.291	0.697	3.533	1.971	0.952	2.115	2.692	6.446	4.343	0.0	0.0	0.0
cell_0081	cluster_1	20.582	8.651	2.948	3.763	1.856	2.836	1.089	1.541	0.967	4.905	21.772	7.192	5.646	2.739	3.064	0.667	6.654	1.649	1.797	1.516	0.0	0.0	1.656	0.876	1.406	4.024	1.184	3.215	1.227	1.368	6.159	1.145	1.754	0.0	0.629	1.889	1.113	2.406	1.733	5.245	0.0	2.46	4.634	3.344	1.43	0.0	9.345	2.486	2.592	0.0	2.151	4.66	8.642	1.444	15.27	6.137	1.047	1.887	4.592	0.977
cell_0503	cluster_3	0.0	0.0	2.996	3.484	0.0	23.266	28.406	5.002	1.713	0.4	1.939	0.779	1.623	1.568	2.056	0.951	1.504	4.14	2.558	0.629	1.158	0.0	2.319	4.87	3.146	1.643	5.489	3.671	2.024	8.03	1.399	1.851	1.489	0.834	2.279	0.999	4.563	0.0	2.967	2.28	0.0	4.103	3.023	2.205	3.466	2.481	1.606	1.316	1.823	1.102	1.571	0.0	1.112	1.931	1.752	0.939	1.598	6.1	4.427	1.79
cell_0107	cluster_1	19.946	12.073	14.458	4.055	5.613	0.0	0.0	0.419	8.662	0.841	2.98	0.896	2.415	0.837	10.33	0.0	0.0	3.318	1.401	0.585	8.566	5.245	3.642	1.581	1.805	0.0	4.32	8.615	2.87	1.962	1.251	5.89	0.0	10.506	6.977	1.123	0.465	5.926	2.01	1.75	3.218	3.235	5.107	2.336	2.984	1.806	1.973	3.508	2.914	0.0	1.221	2.276	4.518	3.166	2.318	2.805	2.921	3.836	3.469	0.0
cell_0128	cluster_1	17.073	25.53	3.183	3.426	0.0	1.129	0.657	1.449	6.654	6.391	4.353	1.016	1.408	0.535	2.136	2.034	3.269	1.44	1.207	1.191	1.393	4.835	0.0	1.839	3.031	0.0	1.288	4.936	1.531	3.58	0.642	0.932	0.0	2.457	1.922	1.874	1.83	1.031	3.747	1.021	1.061	0.0	0.0	2.832	1.606	2.79	1.353	1.756	1.905	0.767	0.0	0.829	2.044	1.051	12.334	5.748	1.445	1.826	0.87	0.0
cell_0580	cluster_3	5.351	0.947	10.925	0.0	13.2	5.819	1.482	6.653	1.94	1.481	4.16	1.514	1.354	2.087	7.744	3.529	0.542	2.676	2.727	2.055	5.313	1.638	0.428	4.759	5.001	0.0	2.337	3.066	4.186	0.0	2.683	1.189	1.644	8.564	1.467	0.0	1.156	1.732	2.667	2.372	2.155	4.306	1.638	4.038	5.544	3.784	0.0	5.692	3.469	16.508	4.501	1.516	2.661	2.413	1.594	2.181	5.053	2.536	1.288	2.402
cell_0096	cluster_1	35.251	24.385	1.122	0.757	0.0	0.0	0.665	2.239	1.53	0.792	1.495	2.807	1.149	2.998	0.999	1.041	0.0	0.526	0.0	1.482	1.614	1.716	0.0	0.0	1.496	2.174	0.0	2.371	1.433	0.957	2.814	0.761	1.105	1.201	2.974	0.728	0.0	0.634	1.314	4.129	2.745	2.904	0.436	0.28	1.626	2.004	2.441	5.661	1.08	1.623	1.192	0.785	0.753	0.569	1.716	2.63	1.902	1.188	2.399	2.415
cell_0052	cluster_1	15.911	56.757	17.272	3.734	3.085	0.0	2.029	3.985	8.093	2.805	2.811	1.95	6.345	1.299	2.262	5.338	4.263	1.453	1.319	1.329	8.901	2.098	8.434	2.265	6.358	5.173	10.119	1.58	3.04	5.783	3.976	0.939	2.259	2.099	3.667	7.76	2.066	0.822	12.376	1.691	2.518	3.717	2.488	1.391	2.535	1.648	7.991	13.632	0.0	2.197	3.773	3.288	4.842	28.196	8.285	4.45	8.13	6.227	3.178	4.458
cell_0489	cluster_3	6.555	5.021	3.293	5.006	28.228	12.018	2.514	4.774	9.342	5.258	1.111	1.714	4.277	1.552	1.001	1.884	2.669	4.84	1.348	12.892	0.0	0.492	4.421	11.58	1.359	3.279	3.567	6.178	2.294	1.237	9.024	4.612	0.0	4.999	2.966	6.192	0.87	3.294	1.057	5.313	9.229	3.764	3.21	3.707	5.888	3.47	2.167	0.0	1.283	3.05	2.58	0.0	3.795	1.445	0.629	0.0	2.606	4.09	1.549	11.323
cell_0459	cluster_3	4.604	8.665	18.533	2.101	66.052	18.718	4.924	3.23	0.617	5.026	4.345	4.951	4.714	1.241	7.302	1.071	1.996	0.0	3.471	2.602	3.75	2.915	17.072	2.857	1.587	1.68	1.285	3.826	3.408	6.611	1.873	1.105	0.0	0.0	2.615	1.56	7.301	5.323	1.739	4.155	0.601	9.75	3.462	6.269	8.653	4.993	5.849	2.779	3.896	0.0	3.647	10.29	5.138	4.235	0.824	5.791	2.221	0.0	1.647	1.674
cell_0225	cluster_2	3.029	3.347	21.452	27.712	0.0	0.0	2.615	0.755	2.585	4.271	1.8	0.0	8.095	2.818	2.792	12.704	1.968	4.491	3.505	4.103	4.84	2.677	5.946	2.312	1.029	3.44	1.623	3.215	16.624	3.72	1.712	2.543	0.0	1.698	7.075	1.925	1.557	1.625	3.88	1.92	2.342	0.0	0.89	5.324	0.678	3.111	2.807	2.169	2.783	0.0	2.482	2.368	0.0	3.723	15.704	0.0	0.823	3.317	7.631	0.0
cell_0429	cluster_3	3.333	7.854	8.133	3.916	43.718	9.625	10.892	7.787	1.785	0.0	2.085	9.218	3.143	2.896	1.556	0.742	2.183	1.565	1.543	3.068	3.513	1.623	2.594	1.444	1.509	1.51	1.929	0.0	1.66	3.988	1.382	1.533	1.061	1.64	6.521	1.757	2.2	1.232	1.711	2.366	2.571	0.872	0.0	2.05	1.706	1.996	0.928	2.006	2.395	4.492	2.714	2.057	3.575	3.158	0.0	4.525	9.184	2.131	2.968	2.151
cell_0360	cluster_2	2.782	4.337	14.803	13.132	1.878	2.508	0.0	4.799	3.675	2.431	1.85	4.255	4.348	1.456	1.311	3.323	2.182	12.152	0.784	4.514	0.0	1.331	2.526	4.361	4.252	1.294	5.545	7.884	2.214	2.729	0.0	0.0	3.234	3.523	1.422	1.716	5.781	1.23	0.0	2.168	0.0	2.053	2.796	2.97	3.454	5.984	2.955	2.723	3.492	7.366	0.0	0.0	3.894	1.712	2.0	10.662	5.484	13.298	4.493	4.14
cell_0280	cluster_2	7.689	2.127	47.543	0.0	1.601	2.466	9.189	1.138	7.877	1.598	1.901	0.0	1.7	0.852	4.471	5.297	1.34	1.105	3.0	1.546	0.0	0.754	3.987	7.928	1.93	7.064	0.661	0.0	1.757	2.545	1.505	2.324	0.0	0.0	2.423	0.0	0.505	2.727	0.0	2.198	5.955	3.251	6.314	3.535	3.027	5.269	4.411	1.747	0.61	1.945	1.859	5.238	0.0	5.33	0.898	9.908	3.427	1.892	2.105	3.216
cell_0056	cluster_1	0.0	0.0	1.405	0.0	2.442	2.29	3.909	1.513	3.414	2.705	2.359	2.417	2.917	1.981	5.917	0.37	0.0	0.0	2.987	3.396	0.84	1.553	1.932	2.618	3.225	5.66	2.996	2.317	1.263	2.007	2.968	3.426	3.946	2.394	1.219	9.57	3.785	19.577	6.451	0.812	13.45	6.586	1.453	2.7	0.0	1.328	2.287	7.824	1.401	1.022	4.041	1.988	4.081	4.255	0.0	2.147	3.819	2.04	0.0	0.0
cell_0102	cluster_1	0.0	101.941	2.684	3.578	5.224	2.547	3.943	2.353	2.172	0.0	8.108	2.518	3.41	0.0	7.743	2.262	1.144	12.338	2.489	1.626	2.811	1.492	1.994	4.229	1.468	7.122	1.096	5.329	5.197	2.006	3.86	6.755	1.36	3.038	0.988	7.048	2.136	4.295	4.547	3.896	1.586	4.654	0.0	2.145	0.0	4.409	5.591	6.44	2.292	0.0	3.135	0.0	2.251	0.0	2.702	2.423	0.0	2.125	3.533	6.697
cell_0371	cluster_2	1.612	0.0	8.724	13.498	3.129	4.763	0.0	1.963	3.466	1.16	2.217	2.723	0.0	0.886	0.603	1.793	1.069	1.108	0.0	2.677	1.324	3.477	2.47	1.333	3.501	0.58	1.954	0.0	3.194	1.622	2.496	1.78	2.767	1.008	1.216	1.681	0.0	1.401	2.331	1.916	4.237	1.56	2.611	1.634	0.875	3.432	3.29	1.902	0.0	0.0	1.01	4.646	4.59	2.888	0.379	4.844	0.954	2.629	2.489	1.928
cell_0355	cluster_2	6.846	0.526	29.705	55.952	3.788	12.154	0.0	1.504	5.73	7.951	1.127	0.0	10.55	2.027	2.529	1.598	3.846	4.472	6.175	5.571	3.68	6.436	3.198	4.692	2.723	1.09	5.298	2.169	4.602	2.055	8.825	4.859	0.548	3.25	0.0	3.219	4.204	2.343	3.593	1.668	5.148	0.0	6.676	2.262	5.992	4.821	10.157	3.765	3.894	0.0	1.661	0.0	1.237	1.595	2.361	3.099	6.607	2.377	3.033	1.859
cell_0596	cluster_3	0.0	0.927	3.887	3.909	29.392	15.498	20.785	6.618	1.914	2.624	0.0	3.036	1.371	1.208	1.881	2.446	1.382	1.464	2.373	2.883	3.806	2.042	1.622	0.0	2.182	0.0	3.717	1.727	4.185	2.454	0.875	1.521	7.408	5.283	2.151	0.661	2.58	2.626	5.698	1.789	3.962	0.682	2.685	1.683	0.833	2.023	6.552	1.437	3.3	7.163	3.98	0.84	0.0	5.835	3.87	9.546	2.945	5.689	1.605	1.237
cell_0565	cluster_3	4.285	0.899	3.911	2.484	0.0	37.916	3.305	5.578	1.923	3.547	2.706	2.194	1.743	8.133	0.955	0.0	8.115	6.726	2.173	2.713	0.0	5.223	0.0	3.473	2.06	0.0	4.334	1.095	0.955	0.887	0.481	5.688	5.363	3.106	0.0	2.843	0.0	2.001	9.528	2.461	6.88	2.206	4.741	3.116	5.489	3.083	0.514	3.529	4.149	3.768	1.273	2.831	8.418	3.107	2.144	3.396	0.352	4.199	2.614	3.485
cell_0480	cluster_3	1.421	2.06	1.318	0.0	22.817	17.923	3.866	3.466	3.61	2.251	6.316	6.634	2.19	7.33	2.083	4.693	0.0	0.0	1.593	5.429	1.138	8.267	1.668	0.707	4.164	5.669	1.543	0.0	0.0	2.575	5.315	1.639	15.206	1.996	0.0	1.455	1.645	2.099	3.207	4.82	1.49	4.035	1.308	2.59	0.826	0.0	4.053	3.229	3.356	4.864	2.71	0.638	5.371	0.0	5.721	2.782	0.0	4.962	5.693	2.609
cell_0522	cluster_3	0.0	2.03	17.707	1.419	0.0	20.456	10.808	2.142	1.428	3.983	2.358	5.651	2.656	0.734	2.255	6.703	0.493	2.618	2.972	0.0	4.044	2.626	3.301	2.523	2.637	1.922	9.715	0.572	4.34	0.0	2.496	13.814	0.876	6.655	1.695	4.34	2.718	0.91	7.632	1.293	1.037	1.733	0.0	2.118	3.128	3.818	2.186	3.285	0.756	4.83	2.893	2.264	2.767	0.523	1.972	3.136	1.299	3.698	2.008	0.0
cell_0232	cluster_2	0.0	8.67	49.233	25.956	2.472	5.426	0.0	2.791	11.769	0.0	4.542	0.655	0.572	3.673	1.55	1.08	3.493	2.405	3.938	4.277	2.184	1.525	4.213	2.07	2.278	3.304	1.584	5.368	0.0	0.0	1.072	2.31	0.926	3.259	5.055	0.0	4.133	4.914	0.0	1.851	1.616	3.04	2.724	1.244	14.236	0.808	4.749	4.242	4.47	1.144	0.839	7.909	2.108	5.884	0.0	2.585	3.349	0.0	1.616	12.507
cell_0389	cluster_2	5.456	0.945	0.0	16.666	3.908	1.316	0.681	1.209	5.706	1.645	6.642	4.084	4.269	4.371	4.302	5.786	0.0	9.588	0.0	1.922	0.0	3.426	1.53	1.31	4.216	2.044	1.155	0.0	2.028	10.558	3.119	0.818	1.564	3.74	10.375	2.255	1.319	3.526	3.501	6.591	6.364	0.0	4.271	4.201	3.39	2.59	5.508	0.0	0.0	3.019	1.348	3.599	6.502	4.284	5.716	4.244	2.866	1.08	1.161	2.759
cell_0077	cluster_1	15.798	57.241	5.215	1.981	0.0	1.026	3.215	1.011	6.082	2.841	4.097	2.188	0.0	0.0	0.0	4.117	3.297	6.122	1.348	1.808	1.919	0.0	1.972	1.505	7.61	1.643	9.6	5.183	0.997	1.433	1.749	2.052	0.693	1.834	0.0	3.928	0.457	1.492	1.628	1.327	2.432	0.54	1.868	3.209	0.0	1.489	3.077	3.988	2.451	1.183	3.901	1.017	2.252	7.296	1.294	3.896	2.314	2.547	4.081	5.821
cell_0547	cluster_3	0.0	3.66	3.069	2.632	17.772	13.484	4.073	6.047	1.752	8.738	2.331	13.246	4.193	5.918	3.996	4.675	3.834	1.899	2.532	5.723	0.0	21.7	1.696	9.135	1.439	1.13	2.845	16.599	7.504	1.834	8.463	3.969	4.274	6.281	1.873	3.488	6.531	3.583	8.163	1.763	2.707	2.59	4.917	3.252	5.623	1.711	1.033	5.968	0.0	0.0	0.0	1.794	12.69	2.154	5.539	2.628	10.594	7.85	3.142	3.181
cell_0413	cluster_2	2.665	1.003	19.596	0.0	1.837	4.748	3.854	2.458	0.0	1.148	2.612	5.64	3.165	3.417	2.807	1.365	1.506	0.865	1.352	1.247	2.633	2.031	1.919	0.697	0.0	5.13	1.605	0.0	4.986	2.387	3.769	3.561	0.0	2.384	1.364	3.035	0.614	4.546	3.543	0.0	1.809	6.139	0.724	2.102	9.458	4.463	5.448	1.102	0.0	2.316	1.733	0.741	3.257	4.033	0.967	0.0	4.92	3.184	2.441	0.865
cell_0308	cluster_2	7.235	2.84	17.33	20.75	2.039	2.552	2.676	2.838	0.0	2.427	1.741	2.0	0.787	0.742	0.785	0.667	4.595	9.697	2.309	2.664	3.086	4.504	3.337	1.339	1.415	1.881	0.374	3.532	0.0	0.667	4.106	1.226	7.105	0.0	3.254	1.233	11.789	3.195	0.475	0.0	6.948	9.398	0.587	5.962	9.929	5.256	0.904	0.0	0.511	6.58	2.794	3.757	0.77	6.766	1.514	4.214	0.864	0.0	2.814	0.0
cell_0210	cluster_1	49.989	30.373	2.855	0.0	3.685	2.751	1.465	2.715	0.0	0.995	1.941	1.531	1.148	4.206	0.902	2.545	1.269	4.213	0.0	3.505	2.706	3.086	1.482	2.771	5.408	4.006	4.098	2.512	1.825	3.433	1.776	2.975	3.489	2.088	0.0	2.269	2.298	0.0	0.904	2.125	8.521	2.736	5.93	2.544	2.42	3.245	3.005	1.257	1.413	0.897	2.745	4.365	3.863	0.0	1.455	1.22	2.055	1.851	1.133	1.277
cell_0124	cluster_1	117.721	0.0	7.606	1.34	3.921	2.236	9.3	1.238	2.477	2.691	1.806	6.636	0.0	1.193	2.097	3.524	0.0	1.908	2.626	1.42	2.918	2.998	1.251	4.146	7.578	1.351	1.45	1.761	5.102	3.476	5.669	3.908	1.386	4.623	0.0	3.633	1.172	1.071	1.265	1.615	1.509	2.045	5.961	2.637	1.069	0.0	1.169	1.789	1.807	2.876	1.576	0.0	2.322	3.948	0.945	0.715	4.346	4.738	5.44	12.01
cell_0340	cluster_2	0.893	1.239	35.533	52.0	1.428	1.534	1.748	3.65	1.059	0.0	0.0	0.927	0.976	0.829	3.631	4.103	4.248	1.355	7.285	5.077	2.551	2.386	2.172	12.752	2.317	2.907	0.889	1.902	5.153	3.376	1.404	5.096	2.997	3.023	0.0	1.573	2.22	2.394	2.055	1.907	2.132	5.002	2.682	2.57	3.175	0.0	1.04	2.637	0.796	6.14	0.808	1.564	2.368	2.092	3.372	4.28	1.32	0.0	7.303	2.068
cell_0332	cluster_2	1.953	2.052	21.995	34.519	1.809	1.608	2.761	5.752	1.164	5.518	0.429	3.379	3.202	0.773	2.014	1.235	3.764	1.702	0.861	5.835	4.636	3.802	3.568	2.669	3.453	0.0	1.557	3.651	3.862	0.721	11.067	0.987	1.311	2.5	5.301	9.46	3.641	4.703	20.871	3.327	11.404	1.714	6.391	6.12	1.98	3.365	1.244	0.9	0.383	3.463	0.0	2.543	1.051	13.675	2.774	4.36	1.283	5.559	9.203	4.592
cell_0129	cluster_1	49.945	15.013	12.973	0.0	14.045	2.653	0.0	2.295	3.389	5.999	3.775	3.215	0.0	2.691	2.688	9.72	7.027	1.412	3.47	2.646	5.75	0.0	12.927	6.945	0.0	2.982	2.715	1.957	7.642	3.171	0.0	1.591	8.732	0.927	1.474	1.187	8.437	2.415	0.0	4.082	10.267	5.818	5.854	13.661	2.155	2.799	5.321	0.0	3.898	4.491	6.155	6.619	4.045	3.669	6.459	10.807	7.6	3.985	6.535	6.905
cell_0194	cluster_1	0.0	27.646	4.976	6.958	1.773	3.988	1.176	3.03	1.805	3.165	2.483	4.325	4.042	1.834	0.0	0.0	1.44	8.412	0.0	4.617	1.767	7.942	2.559	8.81	1.397	3.859	1.152	4.435	3.368	0.855	0.0	4.116	2.524	3.869	7.724	16.28	0.922	0.0	1.391	1.625	5.407	4.381	0.0	1.889	2.641	2.917	2.071	6.669	5.067	1.585	2.22	0.0	0.0	1.455	1.778	1.49	1.799	2.747	2.957	4.444
cell_0094	cluster_1	4.061	8.973	2.293	1.243	7.673	0.847	4.556	0.457	1.591	1.043	11.035	1.919	3.907	2.096	0.0	1.135	0.0	0.69	2.127	1.444	1.32	2.078	2.987	2.794	1.529	0.756	0.0	2.934	4.396	1.098	12.472	1.857	1.834	10.747	2.04	6.273	0.0	5.226	1.959	1.283	0.758	0.506	1.558	0.0	1.662	1.528	3.866	1.426	0.775	0.0	5.966	2.569	1.573	0.892	4.946	1.193	4.51	2.92	1.973	2.223
cell_0400	cluster_2	0.0	12.04	76.569	36.177	12.01	2.586	1.35	2.162	3.017	4.625	2.051	0.994	0.0	3.034	1.839	2.94	5.561	1.487	3.381	8.549	1.275	3.152	3.347	11.196	36.794	4.607	4.39	3.723	2.877	2.121	3.352	1.625	5.288	1.778	6.551	3.504	0.0	1.582	3.44	4.676	2.086	0.0	6.17	1.693	6.331	0.77	6.987	4.062	2.237	3.339	0.0	2.968	2.761	10.293	0.0	0.0	1.519	5.512	9.261	1.01
cell_0403	cluster_2	3.586	0.564	10.854	14.613	2.101	1.513	0.467	0.607	1.966	2.043	3.261	3.097	3.725	3.373	2.761	2.497	2.1	4.015	1.56	4.967	5.41	3.285	6.82	2.319	2.01	2.834	2.989	4.316	1.937	1.753	1.769	1.062	2.952	2.68	1.233	2.133	11.873	0.0	0.838	6.487	0.527	0.96	0.0	0.73	2.957	1.453	1.905	1.226	0.859	2.689	3.0	2.177	2.252	2.612	1.944	2.535	3.069	0.716	3.309	0.0
cell_0496	cluster_3	1.765	1.18	1.324	3.916	20.444	10.461	5.739	2.053	0.878	2.069	2.879	7.002	0.701	2.126	1.288	1.116	3.418	2.888	1.255	0.0	3.338	0.919	0.625	2.436	6.374	5.229	3.434	3.737	1.922	1.055	3.853	3.318	1.493	0.898	3.64	0.0	1.195	3.547	0.0	2.007	0.0	0.857	0.0	1.109	0.577	3.855	2.746	1.504	0.654	1.849	2.426	2.707	2.943	2.511	3.079	4.236	6.548	1.524	1.24	0.909
cell_0186	cluster_1	22.091	10.782	0.0	2.379	6.614	1.145	2.189	8.827	0.939	14.037	2.258	2.936	2.85	3.193	3.033	6.24	6.9	5.047	1.899	10.094	2.421	0.0	1.988	3.117	4.701	0.744	3.819	0.0	3.534	3.041	1.908	20.45	8.457	3.229	1.9	1.402	0.0	2.473	0.0	2.91	4.079	5.09	21.607	2.787	0.0	1.68	7.172	4.638	2.781	6.331	0.0	2.247	1.981	1.311	2.222	13.52	4.495	4.306	2.841	0.0
cell_0488	cluster_3	1.466	4.914	8.94	0.0	105.726	37.032	5.632	1.609	0.992	4.216	2.391	2.149	3.602	2.947	1.035	2.593	2.259	0.908	1.941	7.023	0.508	8.138	0.0	7.777	10.718	1.994	1.719	0.763	1.176	0.648	2.167	2.508	3.717	2.066	3.435	3.951	1.353	6.272	1.726	4.532	13.331	4.19	1.838	2.43	2.339	2.186	3.935	4.124	4.192	2.266	1.01	0.0	4.005	5.505	3.926	0.0	3.613	5.654	0.0	0.0
cell_0028	cluster_1	11.245	0.0	0.851	2.999	1.028	3.672	1.36	1.252	0.0	0.0	1.29	12.064	2.564	3.447	2.076	1.087	0.724	1.146	3.699	1.77	0.0	1.229	1.763	2.063	1.873	1.354	0.0	1.102	1.245	2.764	0.529	11.708	1.388	1.826	2.214	0.747	0.0	3.775	3.393	1.355	1.878	2.688	3.906	0.924	2.702	2.011	2.269	1.337	1.562	1.577	1.337	5.52	6.283	2.013	6.157	0.489	2.429	5.996	3.906	2.662
cell_0009	cluster_1	16.53	4.519	5.739	5.944	0.842	5.084	2.118	5.888	1.709	1.802	3.229	3.424	4.984	1.034	3.392	5.446	3.666	2.151	1.768	2.845	7.22	9.031	1.086	1.373	0.959	4.401	7.16	4.92	2.301	0.0	1.881	0.0	4.45	7.777	1.554	6.476	1.64	0.0	6.85	0.0	5.399	2.117	2.318	1.329	1.95	0.0	1.131	2.673	0.0	0.486	2.536	2.48	1.468	4.303	0.744	2.513	1.08	1.016	2.676	1.952
